domain_id	pfam
A0A2A2A305.1/435-510	examples/PF08428
W1UKU0.1/1881-1955	examples/PF08428
N1ZTX1.1/923-1001	examples/PF08428
A0A0R1TWW2.1/162-238	examples/PF08428
D6S3U4.1/1067-1147	examples/PF08428
C8PC75.1/2323-2400	examples/PF08428
A0A1G8Q4Y2.1/1-74	examples/PF08428
A0A1G7PC20.1/337-410	examples/PF08428
A0A0X8FKH8.1/1478-1553	examples/PF08428
A0A1H1VEB4.1/448-524	examples/PF08428
F2I909.1/1570-1657	examples/PF08428
A0A1G7UYD9.1/120-203	examples/PF08428
D0BNQ7.2/299-373	examples/PF08428
A0A1Q5PT64.1/1-27	examples/PF08428
T0U0E6.1/1087-1162	examples/PF08428
E7GMU1.1/1186-1261	examples/PF08428
Q5FIM8.1/1438-1513	examples/PF08428
A0A062XA95.1/1303-1379	examples/PF08428
A0A0E4H6L8.1/829-903	examples/PF08428
Q74HU0.1/2242-2317	examples/PF08428
D0BNQ6.1/1225-1293	examples/PF08428
N1ZTX1.1/760-838	examples/PF08428
U7PG05.1/817-900	examples/PF08428
A0A239TIM8.1/1252-1334	examples/PF08428
F2I909.1/2054-2141	examples/PF08428
U7PG05.1/733-815	examples/PF08428
A0A1L7D0J0.1/426-503	examples/PF08428
U7UJP5.1/2593-2674	examples/PF08428
E3D7L6.1/464-548	examples/PF08428
C2EQF6.1/297-385	examples/PF08428
A0A0R1S025.1/174-247	examples/PF08428
A0A2A2A6E6.1/521-573	examples/PF08428
D6S603.1/2173-2248	examples/PF08428
D1VVL9.1/222-294	examples/PF08428
E3D7L6.1/838-927	examples/PF08428
A0A1V2SNR1.1/450-522	examples/PF08428
E5V235.1/680-760	examples/PF08428
A0A0R1TT79.1/358-433	examples/PF08428
A0A062XAC7.1/1034-1117	examples/PF08428
N1ZTX1.1/1595-1670	examples/PF08428
E0NLD6.1/3807-3879	examples/PF08428
A0A239SPG6.1/1251-1325	examples/PF08428
A0A1B1NXU8.1/1554-1637	examples/PF08428
A0A133PZI0.1/41-124	examples/PF08428
A0A239TIM8.1/912-994	examples/PF08428
A0A062XAC7.1/853-940	examples/PF08428
C5NVD3.1/1021-1096	examples/PF08428
A0A291JGG1.1/664-747	examples/PF08428
A0A1G7UYD9.1/390-473	examples/PF08428
N1ZSH1.1/3410-3493	examples/PF08428
D6S3U4.1/2634-2716	examples/PF08428
I7LCY9.1/934-1013	examples/PF08428
A0A062XAH3.1/11-67	examples/PF08428
A0A2A2A305.1/762-837	examples/PF08428
A0A062XA95.1/53-133	examples/PF08428
Q5FIM7.1/1298-1376	examples/PF08428
Q8E1C4.1/704-779	examples/PF08428
A0A120IAN4.1/1273-1357	examples/PF08428
A0A239SMH4.1/767-851	examples/PF08428
D0BNQ8.2/931-1009	examples/PF08428
A0A0E4H6L8.1/751-825	examples/PF08428
U7PG05.1/1838-1920	examples/PF08428
S2XU97.1/893-976	examples/PF08428
D0BNQ7.2/147-221	examples/PF08428
H3NG61.1/14-89	examples/PF08428
H0DJW8.1/778-861	examples/PF08428
C8PC75.1/1849-1938	examples/PF08428
D6S3U4.1/2550-2632	examples/PF08428
U7PG05.1/2434-2517	examples/PF08428
A0A0X8FA68.1/1656-1731	examples/PF08428
A0A1V2SNW8.1/1236-1310	examples/PF08428
A0A0R1S025.1/82-156	examples/PF08428
A0A095Z4X3.1/3881-3966	examples/PF08428
A0A062XA95.1/686-762	examples/PF08428
A0A0R1UHT9.1/685-769	examples/PF08428
A0A1E9ADN7.1/832-918	examples/PF08428
Q74HU0.1/2562-2637	examples/PF08428
H3NG63.1/187-268	examples/PF08428
A0A1H1VE77.1/367-443	examples/PF08428
E2SGK7.1/381-459	examples/PF08428
E3D7L6.1/1053-1135	examples/PF08428
K9EBA4.1/649-725	examples/PF08428
A0A1G8LDH8.1/745-823	examples/PF08428
H0DJW7.1/2-40	examples/PF08428
A0A0R1WLG2.1/950-1028	examples/PF08428
A0A1Q3GI87.1/221-279	examples/PF08428
D0BNQ6.1/1798-1867	examples/PF08428
I7JUS7.1/876-951	examples/PF08428
D0BNQ8.2/853-929	examples/PF08428
H3NG62.1/458-523	examples/PF08428
E4KXP0.1/521-589	examples/PF08428
D0BNQ7.2/1-69	examples/PF08428
Q74KU3.1/683-747	examples/PF08428
A0A0E4H6L8.1/673-747	examples/PF08428
A0A1I2TRM2.1/244-323	examples/PF08428
A0A069F0W3.1/311-388	examples/PF08428
S2XE46.1/1-54	examples/PF08428
A0A1G8LJG6.1/836-913	examples/PF08428
J4UI61.1/1200-1275	examples/PF08428
W1UKU0.1/1956-2024	examples/PF08428
A0A1G8LDH8.1/187-265	examples/PF08428
A0A0R1WLG2.1/585-664	examples/PF08428
C5NVX2.1/1328-1401	examples/PF08428
A0A1G8LDH8.1/506-584	examples/PF08428
N1ZTX1.1/1172-1254	examples/PF08428
A0A062XC48.1/1098-1181	examples/PF08428
D0BNQ8.2/1195-1277	examples/PF08428
Q4L3P2.1/1455-1538	examples/PF08428
D6S3U4.1/1238-1318	examples/PF08428
A0A1G8PL73.1/834-917	examples/PF08428
D7UXD2.1/5-81	examples/PF08428
N2ALZ0.1/1310-1388	examples/PF08428
A0A133YXE0.1/1125-1210	examples/PF08428
A0A1Q8E803.1/1828-1903	examples/PF08428
A0A1V2SNX8.1/377-449	examples/PF08428
N1ZTX1.1/179-263	examples/PF08428
A0A062XAC7.1/1277-1352	examples/PF08428
A0A033U9S4.1/614-697	examples/PF08428
U7PF12.1/734-817	examples/PF08428
E7GMU1.1/1099-1174	examples/PF08428
I6SEU7.1/175-250	examples/PF08428
A0A139NKA4.1/1914-1992	examples/PF08428
A0A1G8LJG6.1/1231-1306	examples/PF08428
E4KWU4.1/1676-1760	examples/PF08428
A0A1W1UCR0.1/518-586	examples/PF08428
C5NY12.1/2836-2911	examples/PF08428
A0A097IJ44.1/63-104	examples/PF08428
D0BNQ5.1/1745-1820	examples/PF08428
A0A1L7D0J0.1/507-580	examples/PF08428
H3NGL2.1/1329-1404	examples/PF08428
A0A1V2SNX8.1/1061-1133	examples/PF08428
A0A062XC48.1/1274-1357	examples/PF08428
A0A1V2SNX8.1/1517-1589	examples/PF08428
Q8E1C4.1/1020-1095	examples/PF08428
A0A1B1NXU8.1/1038-1121	examples/PF08428
C5NVX2.1/1065-1140	examples/PF08428
A0A1B1NXU8.1/1468-1551	examples/PF08428
A0A133YXE0.1/1548-1628	examples/PF08428
A0A0R1U4D6.1/1037-1112	examples/PF08428
U7PG05.1/1497-1580	examples/PF08428
U7PG05.1/1327-1410	examples/PF08428
A0A239TIM8.1/827-909	examples/PF08428
B0S0B2.1/1065-1139	examples/PF08428
Q8E1C4.1/941-1016	examples/PF08428
E3D7L6.1/1879-1965	examples/PF08428
C8PC75.1/2024-2097	examples/PF08428
A0A1V2SNX8.1/1137-1209	examples/PF08428
A0A0R1U0W2.1/1-65	examples/PF08428
A0A087ED63.1/1380-1457	examples/PF08428
A0A1V2SNX8.1/1365-1437	examples/PF08428
U7PG05.1/2520-2603	examples/PF08428
A0A0R1TT79.1/586-661	examples/PF08428
A0A087QAI2.1/2141-2223	examples/PF08428
A0A133YXE0.1/1470-1550	examples/PF08428
G5KDY8.1/1030-1105	examples/PF08428
A0A133PZF4.1/1-65	examples/PF08428
A0A062X6B4.1/1131-1209	examples/PF08428
A0A1G7UFP4.1/974-1057	examples/PF08428
C2CHF4.1/389-468	examples/PF08428
E2SGK7.1/224-298	examples/PF08428
C2CKK9.1/64-142	examples/PF08428
A0A2A2A6E6.1/440-518	examples/PF08428
E7GMU1.1/828-905	examples/PF08428
A0A062X6B4.1/891-970	examples/PF08428
U7PG05.1/2178-2260	examples/PF08428
F9MUU5.1/1697-1782	examples/PF08428
I7JUS7.1/1214-1290	examples/PF08428
K9ESC0.1/1465-1546	examples/PF08428
A0A0R1UCQ1.1/686-761	examples/PF08428
E4KXP0.1/752-826	examples/PF08428
A0A134AH44.1/1683-1767	examples/PF08428
C2EQF6.1/389-468	examples/PF08428
C2EQF6.1/200-284	examples/PF08428
A0A0R1UCQ1.1/846-921	examples/PF08428
A0A0R1TT79.1/751-826	examples/PF08428
U7PF12.1/1757-1839	examples/PF08428
D6S3U4.1/979-1066	examples/PF08428
Q5FIM7.1/1573-1648	examples/PF08428
U7PG05.1/2262-2345	examples/PF08428
A0A1G7UFP4.1/807-884	examples/PF08428
T0U0E6.1/579-652	examples/PF08428
E4KXP0.1/592-666	examples/PF08428
D6S3U4.1/1319-1406	examples/PF08428
Q4L3P2.1/1369-1452	examples/PF08428
D1VRX0.1/3742-3814	examples/PF08428
C8PC75.1/900-990	examples/PF08428
A0A1V2SNX8.1/1289-1361	examples/PF08428
A0A0R1TWW2.1/8-84	examples/PF08428
I7WG67.1/382-454	examples/PF08428
A0A062XAC7.1/1119-1194	examples/PF08428
E2SSB1.1/191-239	examples/PF08428
A0A1H1VE77.1/448-525	examples/PF08428
B0S0B2.1/1461-1533	examples/PF08428
R5JGM3.1/182-250	examples/PF08428
Q8E1C4.1/625-700	examples/PF08428
A0A1H9IEB8.1/129-214	examples/PF08428
C5NVX2.1/1142-1220	examples/PF08428
A0A0R1TT79.1/96-171	examples/PF08428
J4W4M3.1/1206-1275	examples/PF08428
C8PC75.1/2245-2315	examples/PF08428
A0A133YGG0.1/380-463	examples/PF18938
A0A0R1WPC1.1/1590-1661	examples/PF18938
I4MBS1.1/370-449	examples/PF18938
E1L2Y1.1/451-531	examples/PF18938
A0A109RBX8.1/1477-1550	examples/PF18938
A0A109RBX8.1/2437-2510	examples/PF18938
A8AWU7.1/377-447	examples/PF18938
A0A133ZEX7.1/1735-1805	examples/PF18938
A0A133ZEX7.1/557-634	examples/PF18938
D6S603.1/2738-2807	examples/PF18938
A0A133ZK32.1/582-662	examples/PF18938
A0A109RBX8.1/1637-1710	examples/PF18938
A0A0R1S3P6.1/1448-1519	examples/PF18938
A0A0R1WPC1.1/855-925	examples/PF18938
A0A0R1S1L8.1/621-692	examples/PF18938
K1LNB2.1/1-72	examples/PF18938
A0A0R2GV56.1/299-376	examples/PF18938
A0A134AKV1.1/1130-1201	examples/PF18938
A0A0R1WHU2.1/493-562	examples/PF18938
A0A109RBX8.1/2277-2350	examples/PF18938
A0A133Z947.1/369-448	examples/PF18938
C2CF26.1/1186-1256	examples/PF18938
A0A1V2SNR1.1/531-603	examples/PF18938
A0A0R1S3P6.1/2057-2125	examples/PF18938
A0A0R1WM20.1/31-102	examples/PF18938
E3D7I6.1/308-384	examples/PF18938
D6S603.1/2489-2558	examples/PF18938
A0A0R1S3P6.1/1668-1737	examples/PF18938
T5LT27.1/653-721	examples/PF18938
A0A1I2AHG4.1/293-366	examples/PF18938
I4MBS1.1/281-363	examples/PF18938
A0A133ZK32.1/3092-3163	examples/PF18938
K9AS72.1/8-78	examples/PF18938
A0A0R2GTS9.1/291-363	examples/PF18938
I4M871.1/471-541	examples/PF18938
N1ZIX7.1/37-103	examples/PF18938
F1T6F6.1/346-425	examples/PF18938
A0A133LVM3.1/1008-1078	examples/PF18938
D5H106.1/1391-1463	examples/PF18938
A0A133LVM3.1/1588-1665	examples/PF18938
I4M833.1/388-467	examples/PF18938
D6S603.1/3320-3388	examples/PF18938
A0A0R1SA35.1/760-829	examples/PF18938
T5LT27.1/582-649	examples/PF18938
A0A133ZF98.1/21-93	examples/PF18938
A0A109RBX8.1/3717-3790	examples/PF18938
D6S5D4.1/616-688	examples/PF18938
H3NKY9.1/458-529	examples/PF18938
A0A133ZAB2.1/422-505	examples/PF18938
F2I4F9.1/1631-1708	examples/PF18938
F1T6H1.1/293-363	examples/PF18938
D6S603.1/3156-3222	examples/PF18938
D6S5D3.1/1321-1388	examples/PF18938
A0A133LVM3.1/1307-1377	examples/PF18938
D6S603.1/1045-1117	examples/PF18938
U7USQ6.1/1275-1346	examples/PF18938
A0A0R2GQ13.1/80-112	examples/PF18938
